SID,C_org,Texture,LayerDepth,BulkDensityClass,Stone,C/N,C/S,RootDepth,NumberHorizon,FieldCapacity,WiltingPoint,PoreVolume,Sand,Silt,Clay,DrainageDepth,Drainage%,GroundWaterLevel
084,0.63,LTS,03,1,00,10,00,13,02,36,21,52,34,22,44,20,00,99
084,0.30,TL,20,1,00,10,00,,,36,22,52,30,21,49,20,00,   
085,1.00,LS4,03,2,00,10,00,13,02,29,15,47,52,24,24,20,00,99
085,0.43,LTS,20,2,00,10,00,,,31,18,50,43,21,36,20,00,   
086,0.99,LS2,03,2,00,10,00,13,02,30,17,47,37,44,19,20,00,99
086,0.28,LT2,20,2,00,10,00,,,30,22,50,31,38,31,20,00,   
087,1.30,LS2,03,2,00,10,00,13,02,30,16,46,41,40,19,20,00,99
087,0.44,LS3,20,2,00,10,00,,,27,17,46,44,37,19,20,00,   
088,0.70,SL3,03,3,00,10,00,13,02,21,09,40,77,14,09,20,00,99
088,0.40,LS4,20,2,00,10,00,,,22,11,44,67,16,17,20,00,   
089,33.6,TU3,03,1,00,10,00,05,02,40,21,90,20,40,40,20,00,99
089,32.9,LU,20,1,00,10,00,,,37,16,89,47,26,27,20,00,   
090,0.40,ST2,03,3,00,10,00,13,02,18,08,40,82,08,10,20,00,99
090,0.24,ST3,20,3,00,10,00,,,20,09,43,75,08,17,20,00,   
091,0.50,ST2,03,3,00,10,00,13,02,19,08,40,81,09,10,20,00,99
091,0.30,ST3,20,2,00,10,00,,,23,11,46,67,10,23,20,00,   
092,0.60,LS2,03,2,00,10,00,13,02,29,18,47,34,48,18,20,00,99
092,0.40,LS2,20,2,00,10,00,,,28,18,47,36,46,18,20,00,   
093,0.63,SL3,03,3,00,10,00,13,02,20,09,40,80,11,09,20,00,99
093,0.30,ST3,20,2,00,10,00,,,23,11,45,68,10,22,20,00,   
094,1.50,LU,03,2,00,10,00,13,02,33,17,48,24,58,18,20,00,99
094,0.23,TU3,20,1,00,10,00,,,32,28,52,12,55,33,20,00,   
095,0.90,SL2,03,3,00,10,00,13,02,21,09,39,75,19,06,20,00,99
095,0.28,SL2,20,3,00,10,00,,,17,08,39,79,14,07,20,00,   
096,33.6,TU3,03,1,00,10,00,07,02,40,21,90,20,40,40,20,00,99
096,32.9,LU,20,1,00,10,00,,,37,16,89,47,26,27,20,00,   
097,4.59,US,03,1,00,10,00,07,02,31,08,68,45,52,03,20,00,99
097,0.81,SU4,20,3,00,10,00,,,26,12,37,51,45,04,20,00,   
098,1.57,LS3,03,2,00,10,00,13,02,30,15,46,45,36,19,20,00,99
098,0.56,LS4,20,2,00,10,00,,,26,15,46,52,29,19,20,00,   
099,1.40,SL3,03,3,00,10,00,05,02,24,10,40,73,18,09,20,00,99
099,1.26,SL3,20,1,00,10,00,,,24,10,54,73,18,09,20,00,   
100,5.27,SLU,03,1,00,10,00,13,02,31,11,70,50,40,10,20,00,99
100,0.81,SL3,20,3,00,10,00,,,25,13,42,55,35,10,20,00,   
101,2.02,SL2,03,3,00,10,00,03,01,22,09,37,86,08,06,20,00,99
102,1.00,LS3,03,2,00,10,00,07,02,30,17,47,42,36,22,20,00,99
102,0.37,LU,20,2,00,10,00,,,28,18,48,41,34,25,20,00,   
103,1.45,LS3,03,2,00,10,00,07,02,31,16,47,42,38,20,20,00,99
103,0.50,LS3,20,2,00,10,00,,,27,16,46,45,35,20,20,00,   
104,0.79,SL3,03,3,00,10,00,13,02,22,10,41,76,13,11,20,00,99
104,0.41,LS4,20,2,00,10,00,,,25,13,46,62,15,23,20,00,   
105,39.4,LT2,03,1,00,10,00,05,02,38,18,91,35,33,32,20,00,99
105,38.5,LU,20,1,00,10,00,,,36,15,91,52,23,25,20,00,   
106,0.55,ST2,03,3,00,10,00,13,02,19,09,40,80,10,10,20,00,99
106,0.26,ST3,20,2,00,10,00,,,23,12,46,65,13,22,20,00,   
107,1.45,LS3,03,2,00,10,00,10,02,31,16,47,42,38,20,20,00,99
107,0.50,LS3,20,2,00,10,00,,,27,16,46,45,35,20,20,00,   
108,0.31,SL3,03,3,00,10,00,13,02,18,09,41,77,12,11,20,00,99
108,0.30,LU,20,2,00,10,00,,,27,14,48,57,14,29,20,00,   
109,2.59,SL3,03,3,00,10,00,05,02,25,10,39,79,13,08,20,00,99
109,2.33,SL3,20,1,00,10,00,,,25,10,61,79,13,08,20,00,   
110,0.70,SL3,03,3,00,10,00,10,02,21,10,40,75,15,10,20,00,99
110,0.27,SL4,20,3,00,10,00,,,21,11,43,68,17,15,20,00,   
111,1.17,LS3,03,2,00,10,00,10,02,31,17,47,40,39,21,20,00,99
111,0.40,LU,20,2,00,10,00,,,28,18,48,41,34,25,20,00,   
112,2.02,SL2,03,3,00,10,00,10,02,22,09,37,86,08,06,20,00,99
112,0.51,ST2,20,3,00,10,00,,,17,07,39,86,06,08,20,00,   
113,1.17,LS3,03,2,00,10,00,07,02,31,17,47,40,39,21,20,00,99
113,0.40,LU,20,2,00,10,00,,,28,18,48,41,34,25,20,00,   
114,1.61,LS3,03,2,00,10,00,13,02,32,17,48,42,34,24,20,00,99
114,0.81,LS3,20,2,00,10,00,,,30,17,50,42,34,24,20,00,   
115,1.97,SU2,03,4,00,10,00,03,01,22,09,35,86,10,04,20,00,99
116,1.45,LS3,03,2,00,10,00,05,02,31,16,47,42,38,20,20,00,99
116,0.50,LS3,20,2,00,10,00,,,27,16,46,45,35,20,20,00,   
117,0.70,SL3,03,3,00,10,00,05,02,21,10,40,75,15,10,20,00,99
117,0.27,SL4,20,3,00,10,00,,,21,11,43,68,17,15,20,00,   
118,4.59,LS2,03,1,00,10,00,05,02,34,15,68,38,42,20,20,00,99
118,0.67,LT2,20,2,00,10,00,,,31,19,49,38,32,30,20,00,   
119,0.65,LS2,03,2,00,10,00,07,02,29,18,48,36,43,21,20,00,99
119,0.43,LS2,20,2,00,10,00,,,29,19,48,34,43,23,20,00,   
120,39.4,LT2,03,1,00,10,00,04,02,38,18,91,35,33,32,20,00,99
120,38.5,LU,20,1,00,10,00,,,36,15,91,52,23,25,20,00,   
